City_ID,City,Country,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed
135,Cherskiy,RU,68.75,161.3,overcast clouds,-23.08,99,100,4.23
136,Clyde River,CA,70.4692,-68.5914,snow,7.03,85,100,29.93
137,Daru,PG,-9.0763,143.2092,heavy intensity rain,77.95,93,100,8.08
138,Cockburn Town,TC,21.4612,-71.1419,broken clouds,78.76,73,75,9.22
139,Kodiak,US,57.79,-152.4072,light snow,15.31,79,90,11.5
140,Thompson,CA,55.7435,-97.8558,light snow,1.56,78,90,13.8
141,Port-Gentil,GA,-0.7193,8.7815,moderate rain,78.76,89,75,3.44
142,Chokurdakh,RU,70.6333,147.9167,overcast clouds,-28.93,100,99,8.23
143,Alice Springs,AU,-23.7,133.8833,clear sky,63.95,63,0,4.61
144,Torata,PE,-17.0769,-70.8433,few clouds,64.9,45,16,11.18
145,Hambantota,LK,6.1241,81.1185,clear sky,75.61,85,3,4.36
146,Sao Paulo Do Potengi,BR,-5.895,-35.7628,broken clouds,82.51,61,80,12.75
147,Najran,SA,17.4924,44.1277,clear sky,56.05,29,0,2.3
148,Chegdomyn,RU,51.1167,133.0167,few clouds,-16.46,100,16,1.54
149,Dakar,SN,14.6937,-17.4441,overcast clouds,74.28,74,100,20.11
150,Lebu,CL,-37.6167,-73.65,broken clouds,59.94,69,74,9.48
151,Krasnorechenskiy,RU,44.6265,135.3532,broken clouds,3.97,83,77,20.74
152,Acapulco,MX,16.8634,-99.8901,clear sky,85.82,70,1,6.91
153,Chernitsyno,RU,51.5074,36.051,few clouds,24.28,78,12,10.0
154,Shumskiy,RU,54.8318,99.1328,overcast clouds,21.94,89,100,3.02
155,Vanavara,RU,60.34,102.2797,overcast clouds,-14.87,100,98,2.73
156,Grindavik,IS,63.8424,-22.4338,snow,30.67,69,75,13.8
157,East London,ZA,-33.0153,27.9116,light rain,69.42,88,90,11.86
158,Awbari,LY,26.5921,12.7805,overcast clouds,58.53,20,89,9.15
159,Garden City,US,42.3256,-83.331,overcast clouds,42.62,77,90,4.61
160,Chumikan,RU,54.7183,135.315,overcast clouds,-8.14,94,100,16.02
161,Mananjary,MG,-21.2167,48.3333,light rain,75.24,86,100,4.52
162,Nishihara,JP,26.1842,127.7558,broken clouds,65.48,52,75,5.75
163,Karratha,AU,-20.7377,116.8463,clear sky,82.35,30,1,11.5
164,Kosh-Agach,RU,50.0,88.6667,clear sky,5.7,65,0,1.66
165,Lipari,IT,38.4674,14.954,broken clouds,56.79,67,58,16.15
166,Rio Grande,BR,-32.035,-52.0986,broken clouds,71.71,63,81,10.87
167,Elburg,NL,52.4475,5.8431,overcast clouds,44.08,83,96,3.0
168,Nanortalik,GL,60.1432,-45.2371,moderate rain,34.29,98,100,28.7
169,Graaff-Reinet,ZA,-32.2522,24.5308,scattered clouds,67.93,68,25,8.79
170,Esperance,AU,-33.8667,121.9,few clouds,53.44,76,15,4.88
171,Mantua,IT,45.1667,10.7833,overcast clouds,45.82,87,100,1.99
172,Cabo San Lucas,MX,22.8909,-109.9124,scattered clouds,84.51,59,40,1.01
173,Aktash,RU,50.3,87.7333,clear sky,-0.49,58,0,4.81
174,Gat,IL,31.61,34.7642,overcast clouds,65.08,100,90,12.95
175,Tambilil,PH,5.9622,124.6697,broken clouds,77.95,87,83,3.24
176,Domoni,KM,-12.2569,44.5319,clear sky,78.22,81,10,5.08
177,Riosucio,CO,5.4216,-75.7032,overcast clouds,72.03,86,100,1.92
