City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
73,Kefamenanu,ID,72.88,overcast clouds,-9.4467,124.4781,Sokowindo Losmen
74,Orodara,BF,82.78,clear sky,10.9492,-4.9342,Bkf Orodara
75,Salisbury,GB,42.66,broken clouds,51.0693,-1.7957,Mercure Salisbury White Hart Hotel
76,Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
77,Teguise,ES,61.02,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
78,Mar Del Plata,AR,62.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
79,Hobart,AU,70.11,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
80,Orlik,RU,5.7,overcast clouds,52.5178,99.825,Gostevoy Dom Mini Gostinitsa
81,Kudahuvadhoo,MV,81.05,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
82,Uvinza,TZ,65.7,overcast clouds,-5.1036,30.3911,Crown Lodge
83,Wanaka,NZ,60.12,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
84,Kodinsk,RU,6.24,overcast clouds,58.6881,99.1844,
85,Whitianga,NZ,72.01,overcast clouds,-36.8333,175.7,Beachside Resort Whitianga
86,Mehamn,NO,33.98,light snow,71.0357,27.8492,Mehamn Arctic Hotel AS
87,Port Elizabeth,ZA,66.09,few clouds,-33.918,25.5701,39 On Nile Guest House
88,Upernavik,GL,26.22,light snow,72.7868,-56.1549,Gina's Guesthouse - Upernavik
89,Kil,SE,15.69,overcast clouds,59.5072,13.314,Kils Hotell & Restaurang
90,Butaritari,KI,81.97,light rain,3.0707,172.7902,Isles Sunset Lodge
91,Roald,NO,33.01,shower snow,62.5833,6.1333,Flem Cabins
92,Bahia Blanca,AR,85.12,clear sky,-38.7196,-62.2724,Hotel Argos
93,Longyearbyen,SJ,6.64,few clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
94,Dubbo,AU,64.53,clear sky,-32.25,148.6167,Comfort Inn Blue Lagoon
95,Northam,GB,45.61,broken clouds,51.0333,-4.2167,Durrant House Hotel
96,Nemuro,JP,36.81,clear sky,43.3236,145.575,Hotel Nemuro Kaiyoutei
97,Albany,US,40.59,overcast clouds,42.6001,-73.9662,
98,Padang,ID,75.74,light rain,-0.9492,100.3543,Mercure Padang
99,Ribeira Grande,PT,64.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
100,Saint-Joseph,RE,71.98,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
101,Kaeo,NZ,70.32,overcast clouds,-35.1,173.7833,Bushido Lodge
102,Husavik,IS,13.91,overcast clouds,66.0449,-17.3389,Bjarnabúð
103,Coihueco,CL,72.34,few clouds,-36.6167,-71.8333,
104,Catamarca,AR,88.77,few clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
105,Buraydah,SA,61.25,clear sky,26.326,43.975,فندق راحة السلام
106,Port Hedland,AU,80.65,broken clouds,-20.3167,118.5667,
108,Nikolskoye,RU,21.09,broken clouds,59.7035,30.7861,
109,Bethel,US,47.05,clear sky,41.3712,-73.414,
110,Altay,CN,20.32,scattered clouds,47.8667,88.1167,
111,Atambua,ID,74.62,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
112,Castro,BR,76.42,clear sky,-24.7911,-50.0119,
